tcga,printable,dataset,task,method,context_json,model,seed,train_fraction,computed_train_size,edit_threshold,results_csv,log_file
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_104305.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_104305.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_120220.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_120220.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_130518.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_130518.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_140723.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_140723.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,52,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_150326.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_150326.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,52,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_170159.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_170159.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,52,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_193536.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_193536.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,52,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_215249.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_215249.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,40,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_014126.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_014126.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,40,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_080903.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_080903.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,40,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_105936.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_105936.log
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BRCA_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BRCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,40,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_133732.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BRCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_133732.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,11,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_184840.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_184840.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,11,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_195102.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_195102.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,11,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_203447.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_203447.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,11,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_213329.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_213329.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,9,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_222204.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_222204.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,9,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_225756.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_225756.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,9,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_232506.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_232506.log
CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CESC_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CESC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,9,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_235227.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CESC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_235227.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_002733.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_002733.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_003155.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_003155.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_003659.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_003659.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_004202.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_004202.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_005610.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_005610.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_010833.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_010833.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_012108.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_012108.log
CHOL,Cholangiocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/CHOL_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_CHOL.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,2,80,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_014251.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/CHOL_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_014251.log
COAD,Colon Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/COAD_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_COAD.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,21,80,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_014544.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_014544.log
COAD,Colon Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/COAD_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_COAD.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,21,80,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_031641.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_031641.log
COAD,Colon Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/COAD_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_COAD.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,21,80,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_043142.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_043142.log
COAD,Colon Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/COAD_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_COAD.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,21,80,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_051755.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_051755.log
COAD,Colon Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/COAD_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_COAD.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,21,80,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_055245.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/COAD_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_055245.log
